geoid,name,B03002001,"B03002001, Error",B03002002,"B03002002, Error",B03002003,"B03002003, Error",B03002004,"B03002004, Error",B03002005,"B03002005, Error",B03002006,"B03002006, Error",B03002007,"B03002007, Error",B03002008,"B03002008, Error",B03002009,"B03002009, Error",B03002010,"B03002010, Error",B03002011,"B03002011, Error",B03002012,"B03002012, Error",B03002013,"B03002013, Error",B03002014,"B03002014, Error",B03002015,"B03002015, Error",B03002016,"B03002016, Error",B03002017,"B03002017, Error",B03002018,"B03002018, Error",B03002019,"B03002019, Error",B03002020,"B03002020, Error",B03002021,"B03002021, Error"
14000US13121009501,"Census Tract 95.01, Fulton, GA",3617,345,3580,346,3498,346,27,30,0,13,44,42,0,13,0,13,11,16,0,13,11,16,37,37,23,28,0,13,0,13,0,13,0,13,0,13,14,22,14,22,0,13
14000US13121009502,"Census Tract 95.02, Fulton, GA",3447,457,3364,449,2495,427,554,395,0,13,233,164,8,15,0,13,74,77,0,13,74,77,83,74,65,71,0,13,0,13,0,13,0,13,13,19,5,10,0,13,5,10
14000US13121009601,"Census Tract 96.01, Fulton, GA",2640,285,2488,270,1973,260,226,103,0,13,122,79,0,13,32,39,135,87,0,13,135,87,152,86,152,86,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
14000US13121009602,"Census Tract 96.02, Fulton, GA",5078,440,4903,399,3810,439,689,232,0,19,202,160,0,19,13,23,189,121,0,19,189,121,175,182,65,51,110,175,0,19,0,19,0,19,0,19,0,19,0,19,0,19
14000US13121009603,"Census Tract 96.03, Fulton, GA",4655,395,4428,400,3262,363,823,275,0,13,158,105,0,13,49,78,136,107,0,13,136,107,227,148,167,132,18,27,0,13,10,17,0,13,32,46,0,13,0,13,0,13
14000US13121009700,"Census Tract 97, Fulton, GA",3874,286,3772,305,3208,351,346,223,0,13,206,126,0,13,12,17,0,13,0,13,0,13,102,83,59,38,24,39,0,13,0,13,0,13,19,31,0,13,0,13,0,13
14000US13121009801,"Census Tract 98.01, Fulton, GA",4543,452,4374,442,3958,394,281,220,0,13,126,157,0,13,0,13,9,13,0,13,9,13,169,160,115,119,54,81,0,13,0,13,0,13,0,13,0,13,0,13,0,13
14000US13121009802,"Census Tract 98.02, Fulton, GA",4461,427,4421,427,3570,399,234,111,0,13,533,274,0,13,7,11,77,77,0,13,77,77,40,40,20,22,20,32,0,13,0,13,0,13,0,13,0,13,0,13,0,13
14000US13121009900,"Census Tract 99, Fulton, GA",5280,446,5193,445,4986,455,40,47,0,19,70,84,0,19,0,19,97,90,0,19,97,90,87,119,87,119,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
14000US13121010001,"Census Tract 100.01, Fulton, GA",4834,479,4749,461,3538,375,620,279,0,13,507,300,0,13,0,13,84,60,0,13,84,60,85,70,56,63,0,13,0,13,0,13,0,13,29,35,0,13,0,13,0,13
14000US13121010002,"Census Tract 100.02, Fulton, GA",7768,559,7399,564,6432,542,258,195,5,11,501,170,0,19,0,19,203,133,100,121,103,82,369,194,316,199,19,30,0,19,0,19,0,19,0,19,34,55,34,55,0,19
14000US13121010114,"Census Tract 101.14, Fulton, GA",6775,552,5464,540,4236,535,880,312,0,19,205,157,0,19,0,19,143,139,15,28,128,137,1311,564,747,574,43,70,370,424,0,19,0,19,81,75,70,72,15,26,55,69
14000US13121010206,"Census Tract 102.06, Fulton, GA",5703,392,5532,394,4853,410,256,179,6,9,378,219,0,19,0,19,39,42,0,19,39,42,171,142,161,142,0,19,0,19,0,19,0,19,0,19,10,17,0,19,10,17
14000US13121010211,"Census Tract 102.11, Fulton, GA",2691,315,2641,304,2531,311,56,51,0,13,54,72,0,13,0,13,0,13,0,13,0,13,50,42,38,33,12,18,0,13,0,13,0,13,0,13,0,13,0,13,0,13
14000US13121010303,"Census Tract 103.03, Fulton, GA",10933,833,10899,829,18,26,10749,837,15,24,12,20,0,21,0,21,105,78,0,21,105,78,34,40,0,21,16,26,0,21,0,21,0,21,0,21,18,28,0,21,18,28
14000US13121010800,"Census Tract 108, Fulton, GA",6581,24,5290,581,1826,445,2588,479,0,19,192,199,0,19,305,477,379,240,0,19,379,240,1291,583,1127,625,0,19,0,19,0,19,0,19,145,232,19,43,19,43,0,19
14000US13121011800,"Census Tract 118, Fulton, GA",2148,280,2028,288,300,76,1558,268,0,13,151,90,0,13,0,13,19,16,4,7,15,15,120,64,43,41,35,41,0,13,0,13,0,13,24,22,18,20,12,18,6,9
14000US13121011900,"Census Tract 119, Fulton, GA",3334,411,3167,411,1090,238,1923,301,2,4,121,68,0,13,0,13,31,33,0,13,31,33,167,92,129,74,24,33,0,13,0,13,0,13,0,13,14,30,0,13,14,30
14000US13121012000,"Census Tract 120, Fulton, GA",3019,471,2929,465,227,140,2639,480,0,13,0,13,0,13,0,13,63,48,0,13,63,48,90,91,61,89,0,13,16,21,0,13,0,13,13,22,0,13,0,13,0,13
14000US13121980000,"Census Tract 9800, Fulton, GA",0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
