GEOID,name,total_population_17,total_population_25_over_17,median_income_17,median_home_value_17,educational_attainment_17,white_alone_17,black_alone_17,native_alone_17,asian_alone_17,native_hawaiian_pacific_islander_17,some_other_race_alone,two_or_more,hispanic_or_latino_17,city,metro_area,state,county,tract,total_population_00,white_alone_00,black_alone_00,native_alone_00,asian_alone_00,native_hawaiian_pacific_islander_00,hispanic_or_latino_00,total_population_25_over_00,median_income_00,median_home_value_00,educational_attainment_00
24031700309,"Census Tract 7003.09, Montgomery County, Maryland",5811,3450.0,74898.0,243200.0,1588.0,1621.0,2067.0,0.0,698.0,0.0,0.0,214.0,1211.0,Washington,Washington-Arlington-Alexandria,MD,Montgomery County,Census Tract 7003.09,3935.691207,2361.0151370000003,789.3363647000001,9.991600037000001,324.7269897,0.999159992,431.63711550000005,2691.737061,58362.997729999995,126200.0049,1172.014648
24031705901,"Census Tract 7059.01, Montgomery County, Maryland",4185,2925.0,227708.0,984600.0,2502.0,3007.0,146.0,0.0,449.0,0.0,47.0,116.0,420.0,Washington,Washington-Arlington-Alexandria,MD,Montgomery County,Census Tract 7059.01,4044.0,3339.0,141.0,9.0,373.0,0.0,165.0,2793.0,146968.0,484300.0,2284.0
24031700715,"Census Tract 7007.15, Montgomery County, Maryland",6412,4040.0,102772.0,296300.0,1706.0,1596.0,1304.0,31.0,1174.0,4.0,0.0,155.0,2179.0,Washington,Washington-Arlington-Alexandria,MD,Montgomery County,Census Tract 7007.15,5687.529799,2830.310438,1054.6525,26.01359376,821.1651642,0.000679688,885.3561565,3585.623775,72496.61905,144294.55,1322.650461
24031700810,"Census Tract 7008.10, Montgomery County, Maryland",5386,3426.0,96140.0,326300.0,1842.0,1760.0,1500.0,14.0,705.0,0.0,66.0,316.0,1025.0,Washington,Washington-Arlington-Alexandria,MD,Montgomery County,Census Tract 7008.10,4940.308902000001,3125.24622,825.9209617,28.0213951,451.46291210000004,0.0068075309999999995,469.6146228,3164.473786,77314.85419,143584.3635,1804.749536
24031700815,"Census Tract 7008.15, Montgomery County, Maryland",7453,4666.0,99005.0,272900.0,1998.0,1593.0,1795.0,0.0,934.0,0.0,109.0,259.0,2763.0,Washington,Washington-Arlington-Alexandria,MD,Montgomery County,Census Tract 7008.15,6319.0,3018.0,1763.0,45.0,575.0,0.0,829.0,3928.0,63304.0,120800.0,1684.0
24031700902,"Census Tract 7009.02, Montgomery County, Maryland",4129,2876.0,74708.0,361800.0,1103.0,1675.0,748.0,0.0,583.0,0.0,0.0,119.0,1004.0,Washington,Washington-Arlington-Alexandria,MD,Montgomery County,Census Tract 7009.02,3686.0,1483.0,926.0,21.0,388.0,0.0,844.0,2457.0,52321.0,131700.0,512.0
24031701002,"Census Tract 7010.02, Montgomery County, Maryland",3662,2743.0,196250.0,719100.0,2210.0,2498.0,78.0,0.0,710.0,0.0,9.0,125.0,242.0,Washington,Washington-Arlington-Alexandria,MD,Montgomery County,Census Tract 7010.02,3608.0,2666.0,388.0,4.0,336.0,0.0,196.0,2465.0,122136.0,340600.0,1579.0
24031701005,"Census Tract 7010.05, Montgomery County, Maryland",3672,2619.0,148705.0,679200.0,1740.0,2044.0,374.0,0.0,829.0,0.0,0.0,79.0,346.0,Washington,Washington-Arlington-Alexandria,MD,Montgomery County,Census Tract 7010.05,2693.906602,2183.250897,138.2593461,16.00115582,220.1965172,0.002086061,125.18760590000001,2002.277303,97532.70903,258772.138,1162.797785
24031701308,"Census Tract 7013.08, Montgomery County, Maryland",3256,2323.0,175357.0,720900.0,1500.0,1962.0,464.0,41.0,574.0,0.0,0.0,60.0,166.0,Washington,Washington-Arlington-Alexandria,MD,Montgomery County,Census Tract 7013.08,2362.425621,1727.8776679999999,279.0420101,2.9791497419999997,235.34888930000002,1.0358399999999999e-05,102.2823471,1642.476067,129423.9373,385899.7963,1040.698081
24031703210,"Census Tract 7032.10, Montgomery County, Maryland",3432,2367.0,91597.0,371500.0,1202.0,1315.0,539.0,6.0,318.0,0.0,62.0,65.0,1133.0,Washington,Washington-Arlington-Alexandria,MD,Montgomery County,Census Tract 7032.10,3092.0,1646.0,617.0,13.0,410.0,0.0,386.0,2153.0,70647.0,169800.0,1212.0
24031703404,"Census Tract 7034.04, Montgomery County, Maryland",3303,2254.0,70227.0,232400.0,336.0,356.0,207.0,0.0,507.0,0.0,0.0,70.0,2163.0,Washington,Washington-Arlington-Alexandria,MD,Montgomery County,Census Tract 7034.04,2904.0,567.0,668.0,4.0,281.0,0.0,1357.0,1794.0,58125.0,119100.0,242.0
24031704502,"Census Tract 7045.02, Montgomery County, Maryland",2525,1700.0,201429.0,824100.0,1492.0,1974.0,9.0,0.0,311.0,0.0,10.0,55.0,166.0,Washington,Washington-Arlington-Alexandria,MD,Montgomery County,Census Tract 7045.02,2678.5172850000004,2171.608643,95.98270416,1.99963963,270.95117189999996,0.999819815,129.9765778,1947.649048,126830.9962,362799.9901,1593.712769
