geoid,name,B03002001,"B03002001, Error",B03002002,"B03002002, Error",B03002003,"B03002003, Error",B03002004,"B03002004, Error",B03002005,"B03002005, Error",B03002006,"B03002006, Error",B03002007,"B03002007, Error",B03002008,"B03002008, Error",B03002009,"B03002009, Error",B03002010,"B03002010, Error",B03002011,"B03002011, Error",B03002012,"B03002012, Error",B03002013,"B03002013, Error",B03002014,"B03002014, Error",B03002015,"B03002015, Error",B03002016,"B03002016, Error",B03002017,"B03002017, Error",B03002018,"B03002018, Error",B03002019,"B03002019, Error",B03002020,"B03002020, Error",B03002021,"B03002021, Error"
14000US24510260102,"Census Tract 2601.02, Baltimore, MD",4625,498,4549,507,441,114,4034,506,0,12,51,59,0,12,0,12,23,37,0,12,23,37,76,69,76,69,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US24510260201,"Census Tract 2602.01, Baltimore, MD",5699,865,5655,856,770,394,4739,937,0,17,146,241,0,17,0,17,0,17,0,17,0,17,44,70,44,70,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
14000US24510260202,"Census Tract 2602.02, Baltimore, MD",5529,626,5362,603,239,108,4842,633,0,17,244,210,0,17,0,17,37,61,0,17,37,61,167,186,0,17,115,165,0,17,0,17,0,17,52,83,0,17,0,17,0,17
14000US24510260203,"Census Tract 2602.03, Baltimore, MD",3127,359,3109,359,83,49,3000,351,26,38,0,12,0,12,0,12,0,12,0,12,0,12,18,17,0,12,16,16,0,12,0,12,0,12,2,4,0,12,0,12,0,12
14000US24510260301,"Census Tract 2603.01, Baltimore, MD",4880,706,4870,707,290,96,4407,739,0,12,0,12,0,12,13,22,160,246,0,12,160,246,10,16,0,12,0,12,0,12,0,12,0,12,10,16,0,12,0,12,0,12
14000US24510260302,"Census Tract 2603.02, Baltimore, MD",6986,814,6800,849,194,130,6433,835,38,54,0,17,0,17,94,154,41,66,0,17,41,66,186,276,186,276,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
14000US24510260303,"Census Tract 2603.03, Baltimore, MD",912,135,874,133,206,84,623,146,16,24,0,12,0,12,0,12,29,30,0,12,29,30,38,37,26,32,0,12,7,11,0,12,0,12,5,8,0,12,0,12,0,12
14000US24510260401,"Census Tract 2604.01, Baltimore, MD",3710,788,2307,486,1790,401,211,172,0,12,83,90,0,12,11,18,212,144,0,12,212,144,1403,709,800,494,207,315,0,12,0,12,0,12,396,290,0,12,0,12,0,12
14000US24510260402,"Census Tract 2604.02, Baltimore, MD",3238,490,3238,490,135,102,2928,519,0,12,0,12,0,12,72,74,103,99,0,12,103,99,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US24510260403,"Census Tract 2604.03, Baltimore, MD",1681,277,1681,277,141,163,1540,302,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US24510260404,"Census Tract 2604.04, Baltimore, MD",2252,402,1371,319,524,163,560,136,34,50,117,144,0,12,106,133,30,27,0,12,30,27,881,351,286,237,21,23,0,12,0,12,0,12,574,314,0,12,0,12,0,12
14000US24510260501,"Census Tract 2605.01, Baltimore, MD",5509,740,3767,511,2771,447,624,242,0,17,166,135,0,17,14,23,192,172,11,16,181,171,1742,743,624,391,0,17,0,17,0,17,0,17,1045,675,73,96,0,17,73,96
14000US24510260604,"Census Tract 2606.04, Baltimore, MD",1490,244,1396,253,184,62,1129,265,0,12,66,83,0,12,0,12,17,22,0,12,17,22,94,75,22,41,0,12,0,12,0,12,0,12,58,61,14,23,0,12,14,23
14000US24510260605,"Census Tract 2606.05, Baltimore, MD",4685,762,3140,656,2212,603,812,280,0,12,54,54,0,12,0,12,62,66,11,19,51,60,1545,460,773,480,0,12,0,12,0,12,0,12,646,348,126,104,81,81,45,66
14000US24510260700,"Census Tract 2607, Baltimore, MD",2884,555,1589,207,1176,179,66,48,55,71,24,20,0,12,0,12,268,166,0,12,268,166,1295,618,789,522,2,5,0,12,0,12,0,12,504,318,0,12,0,12,0,12
14000US24510260800,"Census Tract 2608, Baltimore, MD",2527,449,1398,193,1089,178,237,163,0,12,29,18,0,12,30,48,13,17,0,12,13,17,1129,547,769,444,211,373,0,12,0,12,0,12,149,188,0,12,0,12,0,12
14000US24510260900,"Census Tract 2609, Baltimore, MD",3139,304,3002,311,2586,286,254,154,0,12,66,45,0,12,0,12,96,59,0,12,96,59,137,64,112,58,0,12,0,12,0,12,0,12,10,14,15,24,0,12,15,24
14000US24510261000,"Census Tract 2610, Baltimore, MD",2803,588,2210,537,1030,296,931,523,0,12,0,12,0,12,0,12,249,293,0,12,249,293,593,265,493,272,0,12,0,12,0,12,0,12,100,104,0,12,0,12,0,12
