geoid,name,B03002001,"B03002001, Error",B03002002,"B03002002, Error",B03002003,"B03002003, Error",B03002004,"B03002004, Error",B03002005,"B03002005, Error",B03002006,"B03002006, Error",B03002007,"B03002007, Error",B03002008,"B03002008, Error",B03002009,"B03002009, Error",B03002010,"B03002010, Error",B03002011,"B03002011, Error",B03002012,"B03002012, Error",B03002013,"B03002013, Error",B03002014,"B03002014, Error",B03002015,"B03002015, Error",B03002016,"B03002016, Error",B03002017,"B03002017, Error",B03002018,"B03002018, Error",B03002019,"B03002019, Error",B03002020,"B03002020, Error",B03002021,"B03002021, Error"
14000US11001008302,"Census Tract 83.02, District of Columbia, DC",2683,217,2595,213,1891,164,432,139,2,4,140,66,0,12,8,12,122,68,0,12,122,68,88,58,79,52,4,7,0,12,0,12,0,12,5,8,0,12,0,12,0,12
14000US11001008402,"Census Tract 84.02, District of Columbia, DC",2240,236,2088,216,1367,213,584,101,0,12,25,22,0,12,0,12,112,64,0,12,112,64,152,96,146,96,0,12,0,12,0,12,0,12,6,11,0,12,0,12,0,12
14000US11001008410,"Census Tract 84.10, District of Columbia, DC",1508,183,1433,182,790,127,538,161,5,8,57,35,0,12,0,12,43,31,0,12,43,31,75,44,37,27,0,12,0,12,0,12,0,12,8,13,30,35,8,12,22,24
14000US11001008701,"Census Tract 87.01, District of Columbia, DC",2424,363,2203,351,913,139,1198,336,0,12,66,39,0,12,0,12,26,25,0,12,26,25,221,114,153,96,33,47,0,12,0,12,0,12,34,37,1,3,1,3,0,12
14000US11001008702,"Census Tract 87.02, District of Columbia, DC",3074,320,2807,327,927,197,1625,274,0,12,152,139,0,12,10,15,93,47,0,12,93,47,267,156,183,131,10,17,0,12,0,12,0,12,60,80,14,20,14,20,0,12
14000US11001008802,"Census Tract 88.02, District of Columbia, DC",4463,472,4332,475,1140,291,3020,420,13,21,77,66,0,12,32,49,50,41,0,12,50,41,131,90,84,78,47,46,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US11001008803,"Census Tract 88.03, District of Columbia, DC",2778,446,2434,443,649,273,1653,345,0,12,53,45,10,17,5,11,64,39,6,14,58,39,344,127,144,76,39,42,0,12,0,12,0,12,121,100,40,28,40,28,0,12
14000US11001008804,"Census Tract 88.04, District of Columbia, DC",2849,368,2653,378,265,153,2112,395,18,28,186,179,0,12,0,12,72,49,0,12,72,49,196,150,155,143,10,14,0,12,0,12,0,12,31,50,0,12,0,12,0,12
14000US11001008903,"Census Tract 89.03, District of Columbia, DC",3342,489,3205,539,507,118,2564,561,0,12,91,83,0,12,8,12,35,29,0,12,35,29,137,205,0,12,0,12,0,12,0,12,0,12,137,205,0,12,0,12,0,12
14000US11001008904,"Census Tract 89.04, District of Columbia, DC",4065,504,3587,489,238,152,3203,495,0,12,26,24,0,12,0,12,120,133,30,47,90,126,478,229,130,176,90,137,0,12,13,21,0,12,245,207,0,12,0,12,0,12
14000US11001009000,"Census Tract 90, District of Columbia, DC",3680,284,3353,289,220,77,3089,271,0,12,13,21,31,40,0,12,0,12,0,12,0,12,327,175,194,156,88,95,0,12,0,12,0,12,0,12,45,71,45,71,0,12
14000US11001009102,"Census Tract 91.02, District of Columbia, DC",4888,518,4704,502,490,132,4070,496,0,12,76,51,0,12,0,12,68,58,0,12,68,58,184,135,82,92,9,13,0,12,0,12,0,12,56,63,37,42,36,42,1,3
14000US11001009201,"Census Tract 92.01, District of Columbia, DC",3073,426,2713,349,1328,276,1146,215,0,12,92,44,0,12,0,12,147,69,0,12,147,69,360,201,114,59,125,166,5,8,0,12,0,12,94,63,22,21,9,14,13,16
14000US11001009203,"Census Tract 92.03, District of Columbia, DC",2998,323,2722,297,503,138,2046,292,33,51,10,16,0,12,18,24,112,109,24,39,88,75,276,119,111,76,35,49,19,28,0,12,0,12,104,105,7,11,0,12,7,11
14000US11001009204,"Census Tract 92.04, District of Columbia, DC",2765,356,2505,331,232,109,2189,300,10,16,11,20,0,12,0,12,63,68,9,17,54,65,260,227,30,48,9,15,0,12,0,12,0,12,221,233,0,12,0,12,0,12
14000US11001009301,"Census Tract 93.01, District of Columbia, DC",3450,325,3206,340,1291,263,1639,270,0,12,156,129,0,12,8,14,112,68,0,12,112,68,244,173,81,88,98,141,0,12,0,12,0,12,65,65,0,12,0,12,0,12
14000US11001009302,"Census Tract 93.02, District of Columbia, DC",1427,197,1210,177,378,125,813,113,0,12,0,12,0,12,0,12,19,17,0,12,19,17,217,157,130,163,26,33,0,12,0,12,10,15,46,50,5,8,0,12,5,8
14000US11001009400,"Census Tract 94, District of Columbia, DC",4806,500,4629,497,661,191,3672,471,35,52,99,71,0,12,25,40,137,89,8,13,129,87,177,113,126,118,8,13,0,12,0,12,0,12,43,54,0,12,0,12,0,12
14000US11001009501,"Census Tract 95.01, District of Columbia, DC",7277,644,5325,499,1850,287,3124,489,11,17,240,105,5,11,0,17,95,53,0,17,95,53,1952,548,232,119,230,204,0,17,6,16,0,17,1204,527,280,298,13,23,267,298
14000US11001009503,"Census Tract 95.03, District of Columbia, DC",3247,326,3167,310,695,183,2406,274,0,12,32,40,0,12,0,12,34,48,0,12,34,48,80,62,45,40,21,31,0,12,0,12,0,12,6,14,8,18,8,18,0,12
14000US11001009504,"Census Tract 95.04, District of Columbia, DC",3464,451,3040,438,958,244,1894,414,0,12,141,123,0,12,0,12,47,44,0,12,47,44,424,419,39,36,15,24,288,416,0,12,0,12,82,75,0,12,0,12,0,12
14000US11001009505,"Census Tract 95.05, District of Columbia, DC",3473,335,3154,280,386,83,2637,277,28,46,36,33,0,12,9,15,58,51,0,12,58,51,319,152,1,3,0,12,12,20,0,12,0,12,215,147,91,126,0,12,91,126
14000US11001009507,"Census Tract 95.07, District of Columbia, DC",2005,306,1617,269,36,38,1555,275,0,12,0,12,0,12,0,12,26,32,0,12,26,32,388,354,237,312,56,69,0,12,0,12,0,12,95,148,0,12,0,12,0,12
14000US11001009508,"Census Tract 95.08, District of Columbia, DC",3584,474,3020,500,258,149,2570,407,78,113,33,46,0,12,0,12,81,65,0,12,81,65,564,249,134,119,12,21,0,12,0,12,0,12,339,254,79,98,21,33,58,93
