GEOID,name,total_population_17,white_alone_17,black_alone_17,native_alone_17,asian_alone_17,native_hawaiian_pacific_islander_17,hispanic_or_latino_17,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
06001408900,"Census Tract 4089, Alameda County, California",3050,92.0,886.0,22.0,140.0,22.0,1804.0,Oakland,False,-0.336,-17.953,0.062,1.624,13.636,0.691,+37.7541816,-122.1887803
06001409000,"Census Tract 4090, Alameda County, California",3775,68.0,1295.0,62.0,100.0,104.0,1939.0,Oakland,False,-1.084,-29.777,1.462,-0.868,22.269,2.755,+37.7299594,-122.2164979
06001409100,"Census Tract 4091, Alameda County, California",2233,41.0,738.0,10.0,131.0,0.0,1166.0,Oakland,False,0.865,-35.79,0.124,4.064,24.154,0.0,+37.7323419,-122.1834828
06001409200,"Census Tract 4092, Alameda County, California",3605,137.0,1303.0,66.0,184.0,0.0,1885.0,Oakland,False,1.473,-20.38,1.624,-1.795,18.458,-0.038,+37.7290830,-122.1778389
06001409300,"Census Tract 4093, Alameda County, California",5110,278.0,1546.0,122.0,80.0,19.0,3101.0,Oakland,False,2.254,-12.627,2.005,-2.531,11.905,0.299,+37.7378466,-122.1733599
06001409400,"Census Tract 4094, Alameda County, California",5311,266.0,1363.0,0.0,511.0,12.0,3140.0,Oakland,False,2.427,-17.636,-0.224,6.614,8.506,0.136,+37.7446130,-122.1803623
06001409500,"Census Tract 4095, Alameda County, California",4613,354.0,1118.0,28.0,48.0,0.0,2895.0,Oakland,False,5.339,-15.848,0.241,-5.119,12.265,0.0,+37.7504463,-122.1837659
06001409600,"Census Tract 4096, Alameda County, California",4680,97.0,1247.0,9.0,177.0,24.0,3003.0,Oakland,False,0.392,-26.822,-0.075,-0.764,24.816,0.322,+37.7532669,-122.1726197
06001409700,"Census Tract 4097, Alameda County, California",5402,137.0,1860.0,37.0,148.0,12.0,3119.0,Oakland,False,-0.671,-28.567,0.359,-2.156,29.493,0.222,+37.7564187,-122.1658929
06001409800,"Census Tract 4098, Alameda County, California",3515,487.0,1801.0,3.0,181.0,0.0,571.0,Oakland,False,3.178,-26.977,-0.038,1.98,8.583,0.0,+37.7603611,-122.1557637
06001409900,"Census Tract 4099, Alameda County, California",3464,878.0,1642.0,11.0,303.0,0.0,394.0,Oakland,False,-0.976,-15.445,-0.225,3.088,7.116,0.0,+37.7619727,-122.1358250
06001410000,"Census Tract 4100, Alameda County, California",3549,1145.0,1447.0,0.0,146.0,0.0,308.0,Oakland,False,-3.65,-9.643,-0.703,-2.494,2.599,-0.211,+37.7447566,-122.1332163
06001410100,"Census Tract 4101, Alameda County, California",2776,346.0,1657.0,0.0,83.0,0.0,483.0,Oakland,False,4.346,-11.0,-0.575,-0.889,1.307,-0.036,+37.7478641,-122.1535294
06001410200,"Census Tract 4102, Alameda County, California",3370,177.0,1665.0,0.0,42.0,49.0,1373.0,Oakland,False,0.858,-15.325,-0.282,-4.022,15.643,1.398,+37.7453063,-122.1571742
06001410300,"Census Tract 4103, Alameda County, California",3598,43.0,891.0,46.0,48.0,84.0,2417.0,Oakland,False,-1.246,-27.221,0.929,-3.468,27.208,2.335,+37.7466798,-122.1661407
06001410400,"Census Tract 4104, Alameda County, California",4146,249.0,1520.0,43.0,348.0,9.0,1954.0,Oakland,False,0.242,-18.062,0.918,4.888,11.628,0.158,+37.7408161,-122.1621741
06001410500,"Census Tract 4105, Alameda County, California",2209,150.0,1440.0,8.0,340.0,20.0,145.0,Oakland,False,2.515,-14.8,0.052,4.735,2.041,0.843,+37.8100159,-122.2889571
06001981900,"Census Tract 9819, Alameda County, California",58,58.0,0.0,0.0,0.0,0.0,0.0,Oakland,False,86.034,-26.877,-0.264,-8.037,-50.856,0.0,+37.7996526,-122.3170191
06001982000,"Census Tract 9820, Alameda County, California",66,37.0,18.0,0.0,4.0,0.0,7.0,Oakland,False,38.204,2.273,-17.857,2.49,-25.108,0.0,+37.7960280,-122.2953295
06001983200,"Census Tract 9832, Alameda County, California",573,292.0,33.0,12.0,170.0,0.0,55.0,Oakland,False,4.928,-10.114,0.507,5.858,-3.099,0.0,+37.7959455,-122.2772680
06001990000,"Census Tract 9900, Alameda County, California",0,0.0,0.0,0.0,0.0,0.0,0.0,Oakland,False,,,,,,,+37.6836979,-122.2281492
